Line list produced by pgo v8.0.305 32 bit (Delphi 18.5/18)	8000305
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
Mola	Ground	4	A	8	Ground	4	A	1	49751.089665404	1.39680749410187E-10	87607.5253593808	37856.4356939768	3.37871851965685E-7	1.61427923070553E-13	0	uQ0,4(4)	Mola v=0  4  4  1 - v=0  4  0  4
Mola	Ground	4	A	3	Ground	4	A	2	1997.95432442235	2.95397845907536E-6	42073.5587872995	40075.6044628772	0.150613331984833	4.66056895708965E-12	0	qQ1,4(4)	Mola v=0  4  1  3 - v=0  4  1  4
Mola	Ground	4	A	7	Ground	4	A	2	25850.8367498233	1.19979836194368E-7	65926.4412127005	40075.6044628772	0.000519202394174995	3.48000090400928E-11	0	sQ1,4(4)	Mola v=0  4  3  1 - v=0  4  1  4
Mola	Ground	4	A	6	Ground	4	A	3	23850.8367498233	1.51588760457418E-7	65924.3955371228	42073.5587872995	0.000716882731974912	3.77379090946357E-11	0	sQ1,3(4)	Mola v=0  4  3  2 - v=0  4  1  3
Mola	Ground	4	A	5	Ground	4	A	4	143.55696161063	7.757871227917E-7	50536.0316022298	50392.4746406192	0.593447728404254	6.81199155054112E-15	0	qQ2,3(4)	Mola v=0  4  2  2 - v=0  4  2  3
Mola	Ground	4	A	9	Ground	4	A	4	37215.0580631742	3.55051073820795E-8	87607.5327037934	50392.4746406192	0.000121066419286881	2.42102155217446E-11	0	sQ2,3(4)	Mola v=0  4  4  0 - v=0  4  2  3
Mola	Ground	4	A	8	Ground	4	A	5	37071.493757151	3.5559504020216E-8	87607.5253593808	50536.0316022298	0.000121794825719669	2.40750917503398E-11	0	sQ2,2(4)	Mola v=0  4  4  1 - v=0  4  2  2
Mola	Ground	4	A	7	Ground	4	A	6	2.04567557765404	2.21922765089735E-8	65926.4412127005	65924.3955371228	1.34815058288902	4.47782936462398E-20	0	qQ3,2(4)	Mola v=0  4  3  1 - v=0  4  3  2
Mola	Ground	4	A	9	Ground	4	A	8	0.00734441258828156	1.19230545310586E-10	87607.5327037934	87607.5253593808	2.39951388427342	3.68819029980985E-27	0	qQ4,1(4)	Mola v=0  4  4  0 - v=0  4  4  1
Mola	Ground	5	A	1	Ground	4	A	1	18813.0858953049	0.000291546072324721	56669.5215892818	37856.4356939768	1.65722334039124	3.50291690932146E-8	0	qR0,4(4)	Mola v=0  5  0  5 - v=0  4  0  4
Mola	Ground	5	A	5	Ground	4	A	1	31844.9670388946	1.81839577238365E-6	69701.4027328714	37856.4356939768	0.00642174216589563	6.58330468127351E-10	0	sR0,4(4)	Mola v=0  5  2  3 - v=0  4  0  4
Mola	Ground	5	A	9	Ground	4	A	1	68772.6399838701	7.19430178513081E-10	106629.075677847	37856.4356939768	1.3502973834478E-6	1.39426457607297E-12	0	uR0,4(4)	Mola v=0  5  4  1 - v=0  4  0  4
