%restart: now include fake lines (many but weak, kind of like satellites), and lowered height ratios to 12 or so.

4 rng CORRECT: cinn [4717.4 504.8 476.3] in 288.2 seconds [10000  20000] range 18399 flat,  160 upvotes on trial [5:JKABC=301]
4 rng CORRECT: cinn [4717.4 504.8 476.3] in 292.1 seconds [10000  20000] range 18399 flat,  160 upvotes on trial [5:JKABC=301]
55 rng FALSE POSITIVE: menthone1 [890.5 682.7 404.9] k=0.144, in 566.4 seconds [10000  20000] range 16834 flat,  65 upvotes on trial [21:JKABC=321], found[501.2197      417.5218       401.874]56 rng CORRECT: menthone1 [1298.1 644.9 493.8] k=-0.624, in 356.9 seconds [10000  20000] range 20127 flat,  241 upvotes on trial [11:JKABC=211]
57 rng CORRECT: menthone1 [1145.6 513.6 426.5] k=-0.758, in 431.7 seconds [10000  20000] range 21944 flat,  163 upvotes on trial [5:JKABC=301]
58 rng CORRECT: menthone1 [1209.3 465.8 409.2] k=-0.858, in 429.6 seconds [10000  20000] range 23730 flat,  313 upvotes on trial [13:JKABC=311]
59 rng CORRECT: menthone1 [880.0 516.8 333.9] k=-0.330, in 332.7 seconds [10000  20000] range 18537 flat,  160 upvotes on trial [18:JKABC=122]
60 rng CORRECT: menthone1 [1134.0 355.7 348.4] k=-0.981, in 856.6 seconds [10000  20000] range 11649 flat,  162 upvotes on trial [5:JKABC=301]
61 rng CORRECT: menthone1 [1814.0 466.6 401.8] k=-0.908, in 431.1 seconds [10000  20000] range 23577 flat,  199 upvotes on trial [5:JKABC=301]
62 rng CORRECT: menthone1 [1417.6 372.9 319.2] k=-0.902, in 556.5 seconds [10000  20000] range 26123 flat,  193 upvotes on trial [5:JKABC=301]
63 rng CORRECT: menthone1 [1081.5 504.1 427.6] k=-0.766, in 436.8 seconds [10000  20000] range 23548 flat,  287 upvotes on trial [13:JKABC=311]
64 rng CORRECT: menthone1 [1225.7 514.1 444.2] k=-0.821, in 459.6 seconds [10000  20000] range 22997 flat,  215 upvotes on trial [5:JKABC=301]
100 rng CORRECT: cinn [2781.3 527.8 510.0] k=-0.984, in 353.8 seconds [10000  20000] range 16357 flat,  190 upvotes on trial [5:JKABC=301]
101 rng CORRECT: cinn [2447.4 469.7 466.2] k=-0.996, in 256.7 seconds [10000  20000] range 15003 flat,  118 upvotes on trial [5:JKABC=301]
102 rng CORRECT: cinn [2434.9 340.1 318.3] k=-0.979, in 606.6 seconds [10000  20000] range 20982 flat,  136 upvotes on trial [5:JKABC=301]
103 rng CORRECT: cinn [3924.9 443.2 416.0] k=-0.985, in 253.1 seconds [10000  20000] range 15712 flat,  199 upvotes on trial [5:JKABC=301]
104 rng CORRECT: cinn [2755.2 445.3 410.5] k=-0.970, in 501.7 seconds [10000  20000] range 25429 flat,  186 upvotes on trial [5:JKABC=301]
105 rng CORRECT: cinn [4268.3 398.8 386.1] k=-0.993, in 269.8 seconds [10000  20000] range 15742 flat,  192 upvotes on trial [5:JKABC=301]
106 rng CORRECT: cinn [2572.6 514.4 495.3] k=-0.982, in 345.6 seconds [10000  20000] range 14105 flat,  193 upvotes on trial [5:JKABC=301]
107 rng CORRECT: cinn [2558.0 506.0 461.4] k=-0.957, in 455.1 seconds [10000  20000] range 22787 flat,  183 upvotes on trial [5:JKABC=301]
108 rng CORRECT: cinn [2323.6 470.0 419.5] k=-0.947, in 499.6 seconds [10000  20000] range 27449 flat,  252 upvotes on trial [13:JKABC=311]
109 rng CORRECT: cinn [2514.7 500.9 427.1] k=-0.929, in 430.0 seconds [10000  20000] range 23030 flat,  264 upvotes on trial [11:JKABC=211]
110 rng CORRECT: cinn [3735.8 467.7 419.2] k=-0.971, in 393.9 seconds [10000  20000] range 22121 flat,  189 upvotes on trial [5:JKABC=301]
111 rng CORRECT: cinn [2183.6 464.3 400.1] k=-0.928, in 616.8 seconds [10000  20000] range 27780 flat,  200 upvotes on trial [5:JKABC=301]
112 rng CORRECT: cinn [2167.5 501.6 465.8] k=-0.958, in 520.1 seconds [10000  20000] range 23693 flat,  220 upvotes on trial [5:JKABC=301]
113 rng CORRECT: cinn [3945.6 475.1 449.4] k=-0.985, in 306.6 seconds [10000  20000] range 18100 flat,  180 upvotes on trial [5:JKABC=301]
114 rng CORRECT: cinn [2389.3 533.5 494.8] k=-0.959, in 403.9 seconds [10000  20000] range 22291 flat,  202 upvotes on trial [5:JKABC=301]
115 rng CORRECT: cinn [2362.7 284.8 271.2] k=-0.987, in 392.4 seconds [10000  20000] range 15497 flat,  112 upvotes on trial [5:JKABC=301]
117 rng CORRECT: cinn [2172.9 539.7 508.8] k=-0.963, in 479.5 seconds [10000  20000] range 23152 flat,  222 upvotes on trial [5:JKABC=301]
119 rng CORRECT: cinn [3695.5 505.3 475.6] k=-0.982, in 403.6 seconds [10000  20000] range 22352 flat,  176 upvotes on trial [5:JKABC=301]
121 rng CORRECT: cinn [2271.6 304.9 279.5] k=-0.975, in 655.6 seconds [10000  20000] range 22846 flat,  86 upvotes on trial [5:JKABC=301]
122 rng CORRECT: cinn [3606.0 525.8 468.4] k=-0.963, in 357.2 seconds [10000  20000] range 19755 flat,  179 upvotes on trial [5:JKABC=301]
124 rng CORRECT: cinn [2360.5 432.4 370.7] k=-0.938, in 486.3 seconds [10000  20000] range 24429 flat,  167 upvotes on trial [5:JKABC=301]
125 rng CORRECT: cinn [4445.5 503.5 460.6] k=-0.978, in 231.6 seconds [10000  20000] range 14662 flat,  173 upvotes on trial [5:JKABC=301]
126 rng CORRECT: cinn [3412.1 511.7 460.0] k=-0.965, in 428.2 seconds [10000  20000] range 22591 flat,  194 upvotes on trial [5:JKABC=301]
127 rng CORRECT: cinn [4022.9 333.2 316.5] k=-0.991, in 305.2 seconds [10000  20000] range 18308 flat,  88 upvotes on trial [5:JKABC=301]
128 rng CORRECT: cinn [3704.6 318.9 300.2] k=-0.989, in 412.5 seconds [10000  20000] range 22799 flat,  196 upvotes on trial [5:JKABC=301]
130 rng CORRECT: cinn [3228.0 449.4 414.4] k=-0.975, in 381.8 seconds [10000  20000] range 21454 flat,  214 upvotes on trial [5:JKABC=301]
131 rng CORRECT: cinn [3075.0 457.8 438.1] k=-0.985, in 354.3 seconds [10000  20000] range 19549 flat,  204 upvotes on trial [5:JKABC=301]
133 rng CORRECT: cinn [3307.6 393.1 361.3] k=-0.978, in 447.8 seconds [10000  20000] range 21915 flat,  197 upvotes on trial [5:JKABC=301]
134 rng CORRECT: cinn [2059.2 304.0 290.0] k=-0.984, in 599.7 seconds [10000  20000] range 15670 flat,  192 upvotes on trial [5:JKABC=301]
136 rng CORRECT: cinn [2393.9 283.1 273.4] k=-0.991, in 358.2 seconds [10000  20000] range 13768 flat,  178 upvotes on trial [5:JKABC=301]
137 rng CORRECT: cinn [4159.8 475.3 445.0] k=-0.984, in 269.8 seconds [10000  20000] range 16612 flat,  188 upvotes on trial [5:JKABC=301]
138 rng CORRECT: cinn [2740.6 566.3 482.0] k=-0.925, in 371.4 seconds [10000  20000] range 19662 flat,  216 upvotes on trial [5:JKABC=301]
139 rng CORRECT: cinn [2836.4 428.9 427.0] k=-0.998, in 210.6 seconds [10000  20000] range 10741 flat,  92 upvotes on trial [5:JKABC=301]
140 rng CORRECT: cinn [2367.0 418.6 400.0] k=-0.981, in 547.1 seconds [10000  20000] range 22688 flat,  196 upvotes on trial [5:JKABC=301]
141 rng CORRECT: cinn [3000.4 570.7 502.5] k=-0.945, in 400.3 seconds [10000  20000] range 22550 flat,  209 upvotes on trial [5:JKABC=301]
142 rng CORRECT: cinn [4580.4 425.4 410.9] k=-0.993, in 378.6 seconds [10000  20000] range 16027 flat,  154 upvotes on trial [5:JKABC=301]
143 rng CORRECT: cinn [2816.7 509.4 451.8] k=-0.951, in 438.6 seconds [10000  20000] range 24143 flat,  225 upvotes on trial [5:JKABC=301]
145 rng FALSE POSITIVE: cinn [2181.2 458.2 446.6] k=-0.987, in 579.2 seconds [10000  20000] range 8688 flat,  181 upvotes on trial [5:JKABC=301], found[2181.2198      446.58188      458.24165]146 rng CORRECT: cinn [3294.6 348.0 320.0] k=-0.981, in 607.6 seconds [10000  20000] range 28470 flat,  190 upvotes on trial [5:JKABC=301]
147 rng CORRECT: cinn [3964.9 557.5 499.6] k=-0.967, in 366.2 seconds [10000  20000] range 21464 flat,  190 upvotes on trial [5:JKABC=301]
148 rng CORRECT: cinn [2128.9 431.7 395.5] k=-0.958, in 434.9 seconds [10000  20000] range 21589 flat,  227 upvotes on trial [5:JKABC=301]
149 rng CORRECT: cinn [2436.6 562.9 508.7] k=-0.944, in 389.2 seconds [10000  20000] range 21608 flat,  189 upvotes on trial [5:JKABC=301]
150 rng CORRECT: cinn [4060.1 388.6 355.3] k=-0.982, in 286.4 seconds [10000  20000] range 17607 flat,  177 upvotes on trial [5:JKABC=301]
151 rng CORRECT: cinn [2048.2 504.1 469.4] k=-0.956, in 416.0 seconds [10000  20000] range 20345 flat,  265 upvotes on trial [5:JKABC=301]
153 rng CORRECT: cinn [2377.8 415.5 360.5] k=-0.945, in 477.8 seconds [10000  20000] range 25075 flat,  163 upvotes on trial [5:JKABC=301]
154 rng CORRECT: cinn [3429.0 450.7 420.1] k=-0.980, in 492.4 seconds [10000  20000] range 24361 flat,  186 upvotes on trial [5:JKABC=301]
156 rng CORRECT: cinn [2762.9 324.4 302.7] k=-0.982, in 447.9 seconds [10000  20000] range 23495 flat,  215 upvotes on trial [5:JKABC=301]
157 rng CORRECT: cinn [2673.5 389.3 344.7] k=-0.962, in 513.1 seconds [10000  20000] range 25733 flat,  164 upvotes on trial [5:JKABC=301]
158 rng CORRECT: cinn [3556.0 490.2 462.2] k=-0.982, in 431.4 seconds [10000  20000] range 21757 flat,  186 upvotes on trial [5:JKABC=301]
160 rng CORRECT: cinn [4379.9 344.0 325.1] k=-0.991, in 296.2 seconds [10000  20000] range 17652 flat,  127 upvotes on trial [5:JKABC=301]
161 rng CORRECT: cinn [4158.6 516.3 513.7] k=-0.999, in 157.7 seconds [10000  20000] range 9899 flat,  105 upvotes on trial [5:JKABC=301]
162 rng CORRECT: cinn [2883.8 494.2 479.9] k=-0.988, in 360.5 seconds [10000  20000] range 16356 flat,  196 upvotes on trial [5:JKABC=301]
163 rng CORRECT: cinn [2178.9 551.9 472.6] k=-0.907, in 388.6 seconds [10000  20000] range 20927 flat,  210 upvotes on trial [5:JKABC=301]
164 rng CORRECT: cinn [2790.6 447.1 411.2] k=-0.970, in 354.4 seconds [10000  20000] range 19756 flat,  156 upvotes on trial [5:JKABC=301]
165 rng CORRECT: cinn [2511.8 542.9 480.2] k=-0.938, in 371.3 seconds [10000  20000] range 20734 flat,  229 upvotes on trial [13:JKABC=311]
